===== SHEET: Overall status =====
1	System (HRM, TK, Payroll)	Phase No	Module	Module No	Feature Points	Activity	Sub-Module	Feature (PaaS Ready, Multi-Database)	Description	Additional Description	Actor access	Documentation	UI	Development	Testing	Reference	Remarks				
56	Payroll	Phase II	Settings Module/System Configuration	4		55	Payroll Settings	Retirement set up	Setting up of retirement * Can designate/assign to different employees/employee types or group * With report generation to pdf and excel * With upload and encode facility * Customizable and unlimted entries	included in computational basis, no need for separate setup	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
57	Payroll	Phase II	Settings Module/System Configuration	4		56	Company Offboarding	Transition to new system or vendor with checklist * Existing in HRM and TK (Phase 1)	Exporting data from the system * With report generation		P&A Admin, Client Admin	Complete	Approved	Deployed							
58	Payroll	Phase II	Settings Module/System Configuration	4		57	Notification Settings	Notification Settings * Existing in HRM and TK (Phase 1)	Setting up notification (Channel - Email, SMS, etc.; Frequency - Hourly, Daily, etc.; When to be notified - 5 days before due date, 3 days before due date, etc.; Receiver - Employee, Manager, Administrator, All Users, etc.; Customized Templates) For example payroll processing deadline, statutory deadlines		P&A Admin, Client Admin	Complete	Approved	Deployed							
59	Payroll	Phase II	Settings Module/System Configuration	4		58	Reports Settings	Reports Set Up (all reports - certifications, etc.) * Existing in HRM and TK (Phase 1)	Setting up of reports templates (Design - design templates, logo, colors, font, esignature, printing details - page margins, letterhead; Content - edit content details, enable and custom fields) * Customizable for all report generation * With report generation to pdf, excel, word * With upload and encode facility (with template)		P&A Admin, Client Admin	Deleted feature	In progress	Not yet started							
60	Payroll	Phase II	Settings Module/System Configuration	4		59	Reports Settings	Payslip Set up/Designer	Payslip Set up/Designer * With standard payslip * Can customize * See Payslip Designer Tab	* Chaging of logo is done in the company settings/setup * Clients to choose from available payslip templates * clients to create custom, then save (multiple) * set as active	P&A Admin, Client Admin	In progress	In progress	Not yet started							
61	Payroll	Phase II	Settings Module/System Configuration	4		60	Rules Settings	Rules Set Up **Client-defined Rules * Existing in HRM and TK (Phase 1)	Setting up of rules or Setting up of company Payroll related policies/practices (Date format, number format, absent if did not work or filed a leave a day before a holiday, sign out if inactive for ..... . warn if duplicate TIN is used, warn if ...... Leave Accrual, Overtime, Absences, Tardiness, Undertime, Pay Items - Earnings, Pay Items - Basic Pay, Pay Items - Allowances, Pay Items - Loans, Pay Items - Deductions, Pay Items - Bonus, Shift Schedule, Time Off and Rest Days, Holidays, Leave Conversion, Earning to be considered in OT, Break Hours, Gross up, Take home pays, Part timers, OJT, piece rate, final pay, etc.) * Can designate/assign to different employees/employee types or group * With report generation to pdf and excel * With upload and encode facility (with template) * Customizable and unlimited entries		P&A Admin, Client Admin	Complete	Approved	Deployed							
62	Payroll	Phase II	Settings Module/System Configuration	4		61	Connected Systems	Connected Systems Set Up * Existing in HRM and TK (Phase 1)	System integration set up * Integration of the Payroll System within the Atlas platform, ensuring real-time data synchronization and smooth communication with other systems such as HRM and Time Keeping, and to its modules and feaures		P&A Admin, Client Admin	Covered in phase 1	Not applicable	In progress							
63	Payroll	Phase II	Reference Table Module	30		62	Reference Table	Edit Reference Table	Updating of Reference table which contains all the reference codes to use in employees' payroll information (GL code and mapping, list of banks, bonuses, earnings, BIR table, SSS, etc.) * SEE ANNEX A * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * Add, view, edit, delete * Customizable, can still add and edit fields * With upload, update, encode and import facility (with template and can select parameters which to upload, update or import) * With search facility * See the designated tab on the excel file for Sub Module 1	* Reference tables will be set up under Computational Basis * There will be 30 reference tables * Reference tables can be edited by clients OR they can upload a new version of the table * Reference tables can be viewed and downloaded as an .xslx/.CSV file * Reference tables can be enabled/disabled per client	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
64	Payroll	Phase II	Reference Table Module	30		63	Reference Table	View Reference Table	Viewing of Reference table which contains all the reference codes to use in employees' payroll information (GL code and mapping, list of banks, bonuses, earnings, BIR table, SSS, etc.) * SEE ANNEX A * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 1	* Reference tables will be set up under Computational Basis * There will be 30 reference tables * Reference tables can be edited by clients OR they can upload a new version of the table * Reference tables can be viewed and downloaded as an .xslx/.CSV file * Reference tables can be enabled/disabled per client	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
65	Payroll	Phase II	Audit Log Module	5		64	Audit Log	Date and Time Signed In * Existing in HRM and TK (Phase 1)	History showing date and time of signing into the system * With report generation to pdf and excel * Under profile account		All Users	Covered in phase 1	In progress	Not yet started							
66	Payroll	Phase II	Audit Log Module	5		65	Audit Log	Date and Time Signed Out * Existing in HRM and TK (Phase 1)	History showing date and time of signing out of the system * With report generation to pdf and excel * Under profile account		All Users	Covered in phase 1	In progress	Not yet started							
67	Payroll	Phase II	Audit Log Module	5		66	Audit Log	Date and Time Edited * Existing in HRM and TK (Phase 1)	History showing date and time changes made in the system per feature/per module * With report generation to pdf and excel * Under profile account		All Users	Covered in phase 1	In progress	Not yet started							
68	Payroll	Phase II	Audit Log Module	5		67	Audit Log	Date and Time Added * Existing in HRM and TK (Phase 1)	History showing date and time changes made in the system per feature/per module * With report generation to pdf and excel * Under profile account		All Users	Covered in phase 1	In progress	Not yet started							
69	Payroll	Phase II	Audit Log Module	5		68	Audit Log	Date and Time Deleted * Existing in HRM and TK (Phase 1)	History showing date and time changes made in the system per feature/per module * With report generation to pdf and excel * Under profile account		All Users	Covered in phase 1	In progress	Not yet started							
70	Payroll	Phase II	Audit Log Module	5		69	Audit Log	Audit Log Management * Existing in HRM and TK (Phase 1)	Admin view chronological order of all audit logs * Has options to choose for viewing: User (admin, employee name), Date change (custom - from and to, today, yesterday, this week, etc), Events (all events, per feature, per module, etc) * With report generation to pdf and excel * Under profile account		P&A Admin, Client Admin	Covered in phase 1	In progress	Not yet started							
71	Payroll	Phase II	Company Information Module	6		70	Company Information	Edit Company Information * Existing in HRM and TK (Phase 1)	Updating of Company Information such as Basic Company Information; Contact Information; Authorized Contact Persons, Authorized Signatories; etc. - SEE ANNEX A * P&A Admin or Reviewer to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * Only authorized users (team members) are allowed to view a particular client information * See the designated tab on the excel file for Sub Module 1 * With search facility * With upload and encode facility (with template) * With report generation to pdf and excel ** Can upload company's permanent files like BIR regisration, SSS registration, etc.		P&A Admin, Client Admin	Complete	Approved	Deployed							
72	Payroll	Phase II	Company Information Module	6		71	Company Information	View Company Information * Existing in HRM and TK (Phase 1)	Viewing of recorded Company Information such as Basic Company Information; Contact Information; Authorized Contact Persons, Authorized Signatories; etc. - SEE ANNEX A * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * Only authorized users (team members) are allowed to view a particular client information * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Complete	Approved	Deployed							
73	Payroll	Phase II	Company Information Module	6		72	Company Information	Download Company Information * Existing in HRM and TK (Phase 1)	Downloading/generating of Company Information such as Basic Company Information; Contact Information; Authorized Contact Persons, Authorized Signatories; etc. - SEE ANNEX A * P&A Admin or Reviewer to select a particular client to view and download/generate (Input client name or code and click search button. Apply filters if necessary) * Only authorized users (team members) are allowed to view a particular client information * With search facility * See the designated tab on the excel file for Sub Module 1 * With report generation to pdf and excel		P&A Admin, Client Admin	Complete	Approved	Deployed							
74	Payroll	Phase II	Computational Basis Module	7		73	Computational Basis	Edit Computational Basis	Updating of Computational basis (Government statutory deductions basis; Tax computation basis; Bonus computation basis, Earnings computation basis, Gross pay computation basis, Net pay computation basis, YTD computation basis, etc.) - SEE ANNEX A * Updating of tables, basis, threshold, formulas, etc. * Customizable, can still add and edit fields * With upload, update, encode and import facility(with template and can select parameters which to upload, update or import) * With search facility * P&A Admin or Reviewer to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel * See the designated tab on the excel file for Sub Module 1 * Unlimited entries	Computational Basis module to include the 300 computations as standard. P&A to provide all computations. - Ability to view list of computations - Download list as a report - Editing of computations with available fields and operators only	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
